# Data for device cDAQ1 sampled at 1024
# t | Mod8/ai0:2(bridge) | 
0.000000000000000000e+00 -1.517815951035537698e-03 -1.888355442181011189e-03 -1.888896062535249049e-03
9.765625000000000000e-04 -1.518754574884469436e-03 -1.890090415193524179e-03 -1.886230500009636801e-03
1.953125000000000000e-03 -1.518070014806186712e-03 -1.891162428054032375e-03 -1.885468908127780393e-03
2.929687500000000000e-03 -1.518994523557941215e-03 -1.890139784256912548e-03 -1.883980979927641361e-03
3.906250000000000000e-03 -1.518606371234995037e-03 -1.892467177472898681e-03 -1.887577386539507525e-03
4.882812500000000000e-03 -1.516905554806281461e-03 -1.886895521239312975e-03 -1.884460502291658698e-03
5.859375000000000000e-03 -1.518401708980783756e-03 -1.889328720459919168e-03 -1.888367182202598665e-03
6.835937500000000000e-03 -1.516552687608785236e-03 -1.889744831614426253e-03 -1.890623734421740133e-03
7.812500000000000000e-03 -1.518077072131321804e-03 -1.888447127896152131e-03 -1.890158321353372804e-03
8.789062500000000000e-03 -1.518302906483505249e-03 -1.887720694465000329e-03 -1.891695593187294952e-03
9.765625000000000000e-03 -1.517865352334299292e-03 -1.887741852735077283e-03 -1.890306407376280730e-03
1.074218750000000000e-02 -1.518006498875524137e-03 -1.889180613016956060e-03 -1.888769131306017703e-03
1.171875000000000000e-02 -1.519432076727410047e-03 -1.892509493613728786e-03 -1.883191177392562433e-03
1.269531250000000000e-02 -1.518055900155619673e-03 -1.890908530477306351e-03 -1.884883609881112367e-03
1.367187500000000000e-02 -1.517985326896858882e-03 -1.891585590397735573e-03 -1.887309419872680019e-03
1.464843750000000000e-02 -1.518465224861668657e-03 -1.892262649408810822e-03 -1.888078060719508046e-03
1.562500000000000000e-02 -1.517625403123551778e-03 -1.887939329879640251e-03 -1.885038749241600307e-03
1.660156250000000000e-02 -1.518528740734554532e-03 -1.889300509521756825e-03 -1.888529372230267345e-03
1.757812500000000000e-02 -1.518232333259312075e-03 -1.889152402070505641e-03 -1.891251336212328420e-03
1.855468750000000000e-02 -1.517434855139567244e-03 -1.888658710252063633e-03 -1.891131457278990170e-03
1.953125000000000000e-02 -1.517173733711244020e-03 -1.887135315307372080e-03 -1.888515268751672074e-03
2.050781250000000000e-02 -1.517265479093359449e-03 -1.888454180642780162e-03 -1.888649251782396205e-03
2.148437500000000000e-02 -1.518204103966869613e-03 -1.890069257022020718e-03 -1.884947075988900600e-03
2.246093750000000000e-02 -1.517794779048872332e-03 -1.890880319627554190e-03 -1.884756677641563757e-03
2.343750000000000000e-02 -1.517942982936861668e-03 -1.890696949065683551e-03 -1.885729823994652726e-03
2.441406250000000000e-02 -1.519919030614811685e-03 -1.890055151573858143e-03 -1.885997791501142339e-03
2.539062500000000000e-02 -1.518154702701292194e-03 -1.888799765106668809e-03 -1.888740924361847996e-03
2.636718750000000000e-02 -1.518048842830187727e-03 -1.888884398000486914e-03 -1.888578734402244011e-03
2.734375000000000000e-02 -1.518535798053270280e-03 -1.888228492701748799e-03 -1.890123062770078261e-03
2.832031250000000000e-02 -1.517907696300814513e-03 -1.887424478590675079e-03 -1.890736561767543573e-03
2.929687500000000000e-02 -1.517180791048922681e-03 -1.888052173927514408e-03 -1.889114666244006042e-03
3.027343750000000000e-02 -1.518359365055748809e-03 -1.890118626087480998e-03 -1.889460200945151502e-03
3.125000000000000000e-02 -1.518387594339500523e-03 -1.890090415193524179e-03 -1.887379937430392219e-03
3.222656250000000000e-02 -1.518472282181273451e-03 -1.890943794037276649e-03 -1.883966876321794366e-03
3.320312500000000000e-02 -1.519756712704590802e-03 -1.891211797012434630e-03 -1.885793289995905085e-03
3.417968750000000000e-02 -1.518945122369795130e-03 -1.890887372340140440e-03 -1.887126074176462753e-03
3.515625000000000000e-02 -1.519135669783121560e-03 -1.889765989799546643e-03 -1.885800341773328798e-03
3.613281250000000000e-02 -1.518084129456358667e-03 -1.889956413425668844e-03 -1.889128769705831958e-03
3.710937500000000000e-02 -1.518945122369795130e-03 -1.891416325502880439e-03 -1.890595527581343752e-03
3.808593750000000000e-02 -1.516602089031298750e-03 -1.887509111715386396e-03 -1.889502511300443976e-03
3.906250000000000000e-02 -1.516933784171414258e-03 -1.888496497120474484e-03 -1.890433338218434770e-03
4.003906250000000000e-02 -1.517392511133348757e-03 -1.887713641708110542e-03 -1.889262752573498154e-03
4.101562500000000000e-02 -1.516806752015871333e-03 -1.889596724293717347e-03 -1.888014595005902763e-03
4.199218750000000000e-02 -1.518274677195013186e-03 -1.890682843635084400e-03 -1.885729823994652726e-03
4.296875000000000000e-02 -1.518077072131321804e-03 -1.891966436203358724e-03 -1.886223448238230410e-03
4.394531250000000000e-02 -1.518895721176809167e-03 -1.889780095255800185e-03 -1.884876558090864494e-03
4.492187500000000000e-02 -1.517378396463819022e-03 -1.890506525719295268e-03 -1.887676111065063637e-03
4.589843750000000000e-02 -1.517173733711244020e-03 -1.889843569804057228e-03 -1.885306717115443420e-03
4.687500000000000000e-02 -1.517971212243921560e-03 -1.888736290426981093e-03 -1.889417890586307398e-03
4.785156250000000000e-02 -1.517357224458783368e-03 -1.890139784256912548e-03 -1.891180819196170001e-03
4.882812500000000000e-02 -1.517703033763051837e-03 -1.887678377922182103e-03 -1.889460200945151502e-03
4.980468750000000000e-02 -1.517053758955600601e-03 -1.887840591317028333e-03 -1.889580080275924008e-03
5.078125000000000000e-02 -1.518260562550174421e-03 -1.889074821959626583e-03 -1.890771820307928430e-03
5.175781250000000000e-02 -1.518225275936349507e-03 -1.891811276835800130e-03 -1.886794641402537651e-03
5.273437500000000000e-02 -1.517992384223179440e-03 -1.891204744304387717e-03 -1.884227792966088446e-03
5.371093750000000000e-02 -1.517745377743196997e-03 -1.891994646992328994e-03 -1.884714366887945162e-03
5.468750000000000000e-02 -1.518782804146097572e-03 -1.891430430912955426e-03 -1.888063957228286373e-03
5.566406250000000000e-02 -1.517978269570439661e-03 -1.889060716483639043e-03 -1.885772134663041971e-03
5.664062500000000000e-02 -1.518034728179028280e-03 -1.888799765106668809e-03 -1.887408144450714769e-03
5.761718750000000000e-02 -1.518324078448837419e-03 -1.891014321149816699e-03 -1.890383976228061534e-03
5.859375000000000000e-02 -1.516609146376977088e-03 -1.887128262542292446e-03 -1.889678804409271936e-03
5.957031250000000000e-02 -1.516390368615024627e-03 -1.887678377922182103e-03 -1.891646231320521631e-03
6.054687500000000000e-02 -1.517823008364228322e-03 -1.886980154452828906e-03 -1.890334614232854491e-03
6.152343750000000000e-02 -1.518387594339500523e-03 -1.890555894741932381e-03 -1.889932666377673511e-03
6.250000000000000000e-02 -1.517547772472101208e-03 -1.890894425052627595e-03 -1.884672056130775805e-03
6.347656250000000000e-02 -1.517590116465283032e-03 -1.891543274179349884e-03 -1.885772134663041971e-03
6.445312500000000000e-02 -1.517039644276589518e-03 -1.888969030880096331e-03 -1.884665004337568927e-03
6.542968750000000000e-02 -1.518542855371887148e-03 -1.890986110305984498e-03 -1.887647904059734519e-03
6.640625000000000000e-02 -1.518140588053095439e-03 -1.888179123451179430e-03 -1.885059904605240668e-03
6.738281250000000000e-02 -1.517964154917304798e-03 -1.889603777024261456e-03 -1.887873560058173431e-03
6.835937500000000000e-02 -1.516616203722556547e-03 -1.891261165966002210e-03 -1.890264097088460325e-03
6.933593750000000000e-02 -1.519206242880897194e-03 -1.886592252107532636e-03 -1.890087804184317375e-03
7.031250000000000000e-02 -1.517808893706747760e-03 -1.887791222028470470e-03 -1.891307749818152504e-03
7.128906250000000000e-02 -1.518006498875524137e-03 -1.888383653172061782e-03 -1.891011578317144124e-03
7.226562500000000000e-02 -1.517554829804545341e-03 -1.890753370784132789e-03 -1.886392690724757529e-03
7.324218750000000000e-02 -1.518662829773263822e-03 -1.891606748505596366e-03 -1.883247591900390032e-03
7.421875000000000000e-02 -1.517653632448389116e-03 -1.892114542827841566e-03 -1.886801693165953905e-03
